iter	Passed	Remaining
0	0	23
1	0	22
2	0	21
3	0	19
4	1	19
5	1	19
6	1	19
7	1	18
8	1	18
9	2	18
10	2	17
11	2	17
12	2	17
13	2	17
14	3	17
15	3	17
16	3	16
17	3	16
18	3	16
19	4	16
20	4	16
21	4	15
22	4	15
23	4	15
24	5	15
25	5	14
26	5	14
27	5	14
28	5	14
29	6	14
30	6	14
31	6	14
32	6	14
33	7	13
34	7	13
35	7	13
36	7	13
37	7	13
38	8	12
39	8	12
40	8	12
41	8	11
42	8	11
43	8	11
44	9	11
45	9	11
46	9	10
47	9	10
48	10	10
49	10	10
50	10	10
51	10	9
52	10	9
53	11	9
54	11	9
55	11	9
56	11	8
57	11	8
58	12	8
59	12	8
60	12	7
61	12	7
62	12	7
63	13	7
64	13	7
65	13	6
66	13	6
67	13	6
68	14	6
69	14	6
70	14	5
71	14	5
72	14	5
73	15	5
74	15	5
75	15	4
76	15	4
77	16	4
78	16	4
79	16	4
80	16	3
81	16	3
82	17	3
83	17	3
84	17	3
85	17	2
86	17	2
87	18	2
88	18	2
89	18	2
90	18	1
91	18	1
92	19	1
93	19	1
94	19	1
95	19	0
96	19	0
97	20	0
98	20	0
99	20	0
