iter	Passed	Remaining
0	56	56458
1	56	28318
2	57	18955
3	57	14250
4	57	11431
5	57	9550
6	57	8209
7	58	7198
8	58	6413
9	58	5784
10	58	5279
11	58	4855
12	59	4493
13	59	4182
14	59	3913
15	59	3677
16	60	3470
17	60	3284
18	60	3118
19	60	2970
20	60	2839
21	61	2716
22	61	2604
23	61	2501
24	61	2406
25	62	2323
26	62	2241
27	62	2166
28	62	2096
29	62	2030
30	62	1968
31	63	1917
32	63	1867
33	63	1817
34	64	1768
35	64	1724
36	64	1683
37	64	1642
38	65	1603
39	65	1566
40	65	1531
41	65	1497
42	65	1466
43	66	1436
44	66	1407
45	66	1380
46	66	1353
47	66	1327
48	67	1303
49	67	1279
50	67	1257
51	67	1235
52	67	1214
53	68	1194
54	68	1175
55	68	1157
56	68	1138
57	69	1120
58	69	1104
59	69	1088
60	69	1072
61	69	1056
62	70	1042
63	70	1027
64	70	1013
65	70	1001
66	70	988
67	71	975
68	71	962
69	71	950
70	71	939
71	71	927
72	72	916
73	72	905
74	72	894
75	72	884
76	72	874
77	73	864
78	73	855
79	74	855
80	74	846
81	74	838
82	74	828
83	75	820
84	75	812
85	75	804
86	75	796
87	76	788
88	76	780
89	76	773
90	76	765
91	77	760
92	77	754
93	77	747
94	77	740
95	77	734
96	78	727
97	78	722
98	78	716
99	78	710
100	79	704
101	79	698
102	79	693
103	79	687
104	79	681
105	80	676
106	80	670
107	80	665
108	80	660
109	80	654
110	81	649
111	81	644
112	81	639
113	81	636
114	82	632
115	82	628
116	82	623
117	82	618
118	82	614
119	83	609
120	83	605
121	83	600
122	83	596
123	83	592
124	84	588
125	84	584
126	84	580
127	84	577
128	84	573
129	85	570
130	85	566
131	85	562
132	85	559
133	85	555
134	86	552
135	86	548
136	86	545
137	86	542
138	86	538
139	87	535
140	87	532
141	87	528
142	87	525
143	87	522
144	88	519
145	88	515
146	88	512
147	88	510
148	88	507
149	89	504
150	89	501
151	89	499
152	89	496
153	89	494
154	90	491
155	90	489
156	90	487
157	91	485
158	91	482
159	91	481
160	91	478
161	92	477
162	92	475
163	93	474
164	93	472
165	93	470
166	93	467
167	94	465
168	94	463
169	94	460
170	94	458
171	94	456
172	95	454
173	95	452
174	95	450
175	95	448
176	95	445
177	96	443
178	96	441
179	96	439
180	96	437
181	97	436
182	97	434
183	97	433
184	97	431
185	98	429
186	98	427
187	98	425
188	98	423
189	98	421
190	99	419
191	99	417
192	99	416
193	99	414
194	100	412
195	100	411
196	100	409
197	100	407
198	100	405
199	101	404
200	101	402
201	101	400
202	101	399
203	101	397
204	102	395
205	102	394
206	102	392
207	102	391
208	102	389
209	103	387
210	103	386
211	103	384
212	103	383
213	103	381
214	104	380
215	104	378
216	104	377
217	104	375
218	104	374
219	105	372
220	105	371
221	105	370
222	105	368
223	105	367
224	106	365
225	106	364
226	106	363
227	106	361
228	107	360
229	107	359
230	107	357
231	107	356
232	107	354
233	108	353
234	108	352
235	108	350
236	108	349
237	108	348
238	108	347
239	109	345
240	109	344
241	109	343
242	109	341
243	109	340
244	110	339
245	110	338
246	110	336
247	110	335
248	110	334
249	111	333
250	111	332
251	111	331
252	111	329
253	111	328
254	112	327
255	112	326
256	112	325
257	112	324
258	112	323
259	113	322
260	113	321
261	113	319
262	113	318
263	113	317
264	114	316
265	114	315
266	114	314
267	114	313
268	115	312
269	115	311
270	115	310
271	115	309
272	115	308
273	116	307
274	116	306
275	116	305
276	116	304
277	116	303
278	117	302
279	117	301
280	117	300
281	117	299
282	117	298
283	117	297
284	118	296
285	118	295
286	118	294
287	118	293
288	118	292
289	119	291
290	119	290
291	119	289
292	119	288
293	119	288
294	120	287
295	120	286
296	120	285
297	120	284
298	120	283
299	121	282
300	121	281
301	121	281
302	121	280
303	122	279
304	122	278
305	122	277
306	122	276
307	122	275
308	122	274
309	123	274
310	123	273
311	123	272
312	123	271
313	124	270
314	124	270
315	124	269
316	124	268
317	124	267
318	125	266
319	125	266
320	125	265
321	125	264
322	125	263
323	125	262
324	126	262
325	126	261
326	126	260
327	126	259
328	126	258
329	127	258
330	127	257
331	127	256
332	127	255
333	127	255
334	128	254
335	128	253
336	128	252
337	128	252
338	128	251
339	129	250
340	129	249
341	129	249
342	129	248
343	129	247
344	130	246
345	130	246
346	130	245
347	130	244
348	130	244
349	131	243
350	131	242
351	131	241
352	131	241
353	131	240
354	132	239
355	132	239
356	132	238
357	132	237
358	132	237
359	133	236
360	133	235
361	133	235
362	133	234
363	133	233
364	133	233
365	134	232
366	134	231
367	134	231
368	134	230
369	134	229
370	135	229
371	135	228
372	135	227
373	135	227
374	136	226
375	136	226
376	136	225
377	136	224
378	136	224
379	137	223
380	137	223
381	137	222
382	137	221
383	137	221
384	138	220
385	138	219
386	138	219
387	138	218
388	138	218
389	139	217
390	139	216
391	139	216
392	139	215
393	139	215
394	140	214
395	140	213
396	140	213
397	140	212
398	140	212
399	141	211
400	141	211
401	141	210
402	141	209
403	141	209
404	142	208
405	142	208
406	142	207
407	142	206
408	142	206
409	142	205
410	143	205
411	143	204
412	143	204
413	143	203
414	144	203
415	144	202
416	144	202
417	144	201
418	144	200
419	145	200
420	145	199
421	145	199
422	145	198
423	145	198
424	146	197
425	146	197
426	146	196
427	146	195
428	146	195
429	147	194
430	147	194
431	147	193
432	147	193
433	148	193
434	148	193
435	148	192
436	149	192
437	149	191
438	149	191
439	149	190
440	149	190
441	150	189
442	150	189
443	150	188
444	150	187
445	150	187
446	151	187
447	151	186
448	151	185
449	151	185
450	151	184
451	152	184
452	152	183
453	152	183
454	152	182
455	152	182
456	153	181
457	153	181
458	153	180
459	153	180
460	153	179
461	154	179
462	154	178
463	154	178
464	154	177
465	154	177
466	155	176
467	155	176
468	155	176
469	155	175
470	155	175
471	156	174
472	156	174
473	156	173
474	156	173
475	156	172
476	157	172
477	157	171
478	157	171
479	157	170
480	157	170
481	158	169
482	158	169
483	158	169
484	158	168
485	158	168
486	159	167
487	159	167
488	159	166
489	159	166
490	159	165
491	160	165
492	160	164
493	160	164
494	160	164
495	160	163
496	161	163
497	161	162
498	161	162
499	161	161
500	161	161
501	162	160
502	162	160
503	162	159
504	162	159
505	162	159
506	163	158
507	163	158
508	163	157
509	163	157
510	163	156
511	164	156
512	164	156
513	164	155
514	164	155
515	164	154
516	165	154
517	165	153
518	165	153
519	165	152
520	165	152
521	166	152
522	166	151
523	166	151
524	166	150
525	166	150
526	167	150
527	167	149
528	167	149
529	167	148
530	167	148
531	168	147
532	168	147
533	168	147
534	168	146
535	168	146
536	169	145
537	169	145
538	169	144
